,Company Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount,Stage,Year
1572,Wishfie,Unknown,Bangalore,Technology,A platform for people to express their opinions in form of short videos around any topic.,Unknown,Unknown,1300000.0,Pre-series A,2018
1573,The Social Hook,Unknown,Bangalore,Commerce,Fast growing Influencer Marketing platform in India.,Unknown,Unknown,1300000.0,Pre-series A,2018
1574,FreightBro,Unknown,Mumbai,Transport,Software for the new-age freight,Unknown,Unknown,1300000.0,Pre-series A,2018
1575,Finwego,Unknown,Chennai,—,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,Unknown,Unknown,1300000.0,Pre-series A,2018
1576,Cricnwin,Unknown,Gurgaon,Sports,Cricnwin is a Gurugram - based Fan Engagement Platform,Unknown,Unknown,1300000.0,Pre-series A,2018
1577,Wicked Ride Adventure Services Private Limited,Unknown,Bangalore,Transport,Peer-to-Peer motor vehicles sharing,Unknown,Unknown,10000000.0,Unknown,2018
1578,Career Anna,Unknown,Bangalore,Education,India's Go to Career Commerce Portal,Unknown,Unknown,579710.1449275363,Pre-series A,2018
1579,ERUDITUS Executive Education,Unknown,Mumbai,Business Intelligence,"Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",Unknown,Unknown,40000000.0,Series C,2018
1580,Gaia Smart Cities,Unknown,Mumbai,Government,Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,Unknown,Unknown,1300000.0,Pre-series A,2018
1581,Square Off,Unknown,Mumbai,Manufacturing,Delivering Imagination,Unknown,Unknown,1100000.0,Pre-series A,2018
1582,UrbanClap,Unknown,New Delhi,Business Intelligence,UrbanClap is India's leading managed marketplace for home services.,Unknown,Unknown,50000000.0,Series D,2018
1583,Hospals,Unknown,New Delhi,Hospitality,Hospals is a medical tourism company.,Unknown,Unknown,1500000.0,Pre-series A,2018
1584,Kogta Financial India Limited,Unknown,Jaipur,Finance,Kogta Financial (India) Ltd is a retail-focused non banking financial company .,Unknown,Unknown,22318840.579710145,Series B,2018
1585,Perspectico,Unknown,New Delhi,Business Intelligence,An Education Management startup.,Unknown,Unknown,1300000.0,Pre-series A,2018
1586,The Souled Store,Unknown,Mumbai,Beauty & Fashion,"The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",Unknown,Unknown,3000000.0,Unknown,2018
1587,Hush - Speak Up. Make Work Better,Unknown,Bangalore,Government,Enabling diversity of opinions in organizations,Unknown,Unknown,652173.9130434783,Pre-series A,2018
1588,Drivezy,Unknown,Bangalore,Transport,Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,Unknown,Unknown,100000000.0,Debt,2018
1589,Freyr Energy,Unknown,Hyderabad,Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",Unknown,Unknown,1500000.0,Series A,2018
1590,NIRAMAI Health Analytix,Unknown,Bangalore,Hospitality,NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,Unknown,Unknown,6000000.0,Pre-series A,2018
1591,CloudSek,Unknown,Bangalore,Technology,Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,Unknown,Unknown,2028985.507246377,Pre-series A,2018
1592,Lendbox,Unknown,New Delhi,Finance,Lendbox is India's leading peer-to-peer lending online lending platform.,Unknown,Unknown,869565.2173913043,Pre-series A,2018
